userId,movieId,rating,timestamp
285,2605,3.0,974036328
24,897,4.0,963472695
607,4016,4.0,979339130
219,3981,2.0,1011718777
203,546,2.0,955137146
228,880,3.0,1141170661
590,97921,5.0,1403725269
567,3300,2.0,1129697531
402,34150,2.5,1172698946
603,2,3.0,860499905
128,2716,4.0,1262158415
439,1233,5.0,864847517
451,1199,5.0,1130495208
530,2202,3.0,1076730122
62,1961,3.5,1268779900
575,50,4.0,1020118365
451,76,3.5,1131361015
192,56274,1.0,1219087843
575,2946,4.0,963750438
224,50794,2.5,1425335872
574,99149,3.0,1362802370
475,5033,3.0,1305332000
458,2717,2.0,975732247
110,3751,5.0,992250715
295,296,4.0,837884511
280,1210,5.0,944897212
627,2021,3.0,1237930401
69,7387,3.5,1121284622
657,261,1.0,1243036648
475,112183,3.5,1422044824
232,288,4.5,1307342647
628,1196,4.5,1112468020
611,3435,4.0,1368125805
232,53953,4.5,1277372463
590,1200,4.5,1243371173
73,1912,5.0,945886302
568,307,4.0,1142790608
412,110,4.0,1415279156
605,2174,3.0,955376612
48,529,5.0,1081162500
328,6502,4.0,1223426161
366,708,4.0,1084996680
422,3844,4.5,1074650971
168,3578,4.5,1159239159
403,31804,4.0,1222302750
665,63853,4.0,1231675203
365,3334,4.0,1062894069
402,3869,3.0,1172479750
668,4975,2.0,1071772922
668,2973,2.5,1092028751
530,1711,4.0,945143848
63,46974,2.0,1300030586
668,58576,1.0,1381073305
224,4018,4.0,1428127692
543,4690,4.0,995889542
89,500,2.0,1328925256
586,541,4.5,1397065593
62,1235,4.0,1267424967
532,61240,5.0,1440345771
250,5618,4.5,1107162296
506,1240,3.5,1175243458
640,18,5.0,860492343
83,79132,5.0,1418842179
241,5507,5.0,1446671175
192,3113,4.0,1002210633
475,153,3.0,1305329414
668,117456,2.5,1431274219
77,4973,4.5,1085081139
627,6503,1.5,1237991410
628,3683,4.5,1112472604
328,1,5.0,1237950888
250,2716,4.0,1107160997
668,61350,2.0,1246334069
44,1375,1.5,1225237748
597,1031,4.0,965118914
319,31367,5.0,1413898735
427,68954,3.0,1329765780
194,65585,3.0,1364053264
235,2701,2.0,953677160
228,2541,2.5,1141170483
139,3538,3.5,1095888238
668,53123,2.0,1199287562
575,1082,3.0,939927352
118,3489,3.0,1045086201
69,527,4.0,1121089189
167,49272,5.0,1446588418
69,6987,3.0,1121089379
529,68358,4.5,1260118907
140,1639,4.0,895849529
296,3704,3.0,1085799991
615,2817,3.0,955127478
232,1702,3.5,1277842645
89,1527,4.0,1328925385
516,2432,5.0,1001471089
128,3328,3.5,1262378345
485,6040,2.0,1058174390
173,431,4.0,954597026
128,61262,3.5,1269291378
461,32587,4.5,1179854167
512,1962,2.0,1254429853
